Tag,SimplifiedTags
Ap,ADJ
Apc,ADJ
Aps,ADJ
Aq,ADJ
Aq-dfd,ADJ
Aq-dfn,ADJ
Aq-p,ADJ
Aq-pfd,ADJ
Aq-pfg,ADJ
Aq-pfn,ADJ
Aq-pfv,ADJ
Aq-pmd,ADJ
Aq-pmg,ADJ
Aq-pmn,ADJ
Aq-pmv,ADJ
Aq-s,ADJ
Aq-sfd,ADJ
Aq-sfg,ADJ
Aq-sfn,ADJ
Aq-sfv,ADJ
Aq-smd,ADJ
Aq-smg,ADJ
Aq-smn,ADJ
Aq-smv,ADJ
Ar,ADJ
Av,ADJ
Cc,X
Cs,X
Cs+Qq,X
Csw,X
Dd,X
Dp1p,X
Dp2p,X
Dp3p,X
Dp1s,X
Dp2s,X
Dp3sf,X
Dp3sm,X
Dq,X
Fb,X
Fe,X
Fg,X
Fi,X
Fq,X
Fu,X
Fz,X
I,X
Mc,X
Mn,X
Mo,X
Mr,X
Ms,X
Ncdfd,NOUN
Ncdfde,NOUN
Ncdfn,NOUN
Ncdfne,NOUN
Ncpfd,NOUN
Ncpfde,NOUN
Ncpfg,NOUN
Ncpfge,NOUN
Ncpfn,NOUN
Ncpfne,NOUN
Ncpfv,NOUN
Ncpmd,NOUN
Ncpmde,NOUN
Ncpmg,NOUN
Ncpmge,NOUN
Ncpmn,NOUN
Ncpmne,NOUN
Ncpmv,NOUN
Ncsfd,NOUN
Ncsfde,NOUN
Ncsfg,NOUN
Ncsfge,NOUN
Ncsfn,NOUN
Ncsfn+Pr1s,NOUN
Ncsfne,NOUN
Ncsfv,NOUN
Ncsmd,NOUN
Ncsmde,NOUN
Ncsmg,NOUN
Ncsmge,NOUN
Ncsmn,NOUN
Ncsmn+Pr1s,NOUN
Ncsmne,NOUN
Ncsmv,NOUN
Nf,NOUN
Nf---e,NOUN
Nn,NOUN
Nn-fd,NOUN
Nn-fg,NOUN
Nn-fn,NOUN
Nn-fv,NOUN
Nn-md,NOUN
Nn-mg,NOUN
Nn-mn,NOUN
Nn-mv,NOUN
Nt,NOUN
Nv,NOUN
Nv---e,NOUN
Pd,PRON
Pn,PRON
Pp1p,PRON
Pp1p--e,PRON
Pp2p,PRON
Pp2p--e,PRON
Pp3p,PRON
Pp3p--e,PRON
Pp3p-n,PRON
Pp3p-ne,PRON
Pp1s,PRON
Pp1s--e,PRON
Pp2s,PRON
Pp2s--e,PRON
Pp3sf,PRON
Pp3sf-e,PRON
Pp3sfn,PRON
Pp3sfne,PRON
Pp3sm,PRON
Pp3sm-e,PRON
Pp3smn,PRON
Pp3smne,PRON
Pr1p,PRON
Pr1p--e,PRON
Pr2p,PRON
Pr2p--e,PRON
Pr3p,PRON
Pr3p--e,PRON
Pr1s,PRON
Pr1s--e,PRON
Pr2s,PRON
Pr2s--e,PRON
Pr3sf,PRON
Pr3sf-e,PRON
Pr3sm,PRON
Pr3sm-e,PRON
Px,PRON
Qa,ADP
Qa+Q--s,ADP
Qn,ADP
Qnm,ADP
Qnr,ADP
Qq,ADP
Qq+Q--s,ADP
Q-r,ADP
Q-s,ADP
Q--s,ADP
Rg,X
Rg+Cc,X
Rs,X
Rt,X
Sa,ADP
Sap1p,ADP
Sap2p,ADP
Sap3p,ADP
Sap1s,ADP
Sap2s,ADP
Sap2s,ADP
Sap3sf,ADP
Sap3sm,ADP
Sp,ADP
Sp+Dp2s,ADP
Sp+Q-r,ADP
Spa-p,ADP
Spa-s,ADP
Spp1p,ADP
Spp2p,ADP
Spp3p,ADP
Spp1s,ADP
Spp2s,ADP
Spp3sf,ADP
Spp3sm,ADP
Spr,ADP
Spv,ADP
Tdp,X
Tdpf,X
Tdpfg,X
Tdp-g,X
Tdpm,X
Tdpmg,X
Tds,X
Tdsf,X
Tdsfg,X
Tds-g,X
Tdsm,X
Tdsmg,X
Ua,X
Uc,X
Uf,X
Ug,X
Um,X
Uo,X
Up,X
Uq,X
Uq+V-p--d,X
Uv,X
V-f,VERB
V-f--d,VERB
V-f--r,VERB
V-f0,VERB
V-f0-d,VERB
V-h,VERB
V-h--d,VERB
V-h0,VERB
V-h0-d,VERB
V-h1p,VERB
V-h1pd,VERB
V-h1s,VERB
V-h1sd,VERB
V-h1sde,VERB
V-h1s-e,VERB
Vm-1p,VERB
Vm-2p,VERB
Vm-3,VERB
Vm-1s,VERB
Vm-2s,VERB
V-p,VERB
V-p--d,VERB
V-p0,VERB
V-p0-d,VERB
V-s,VERB
V-s--d,VERB
V-s0,VERB
V-s0-d,VERB
Wpdia,VERB
Wpdin,VERB
Wpdqa,VERB
Wpdqn,VERB
Wp-i,VERB
Wp-i-3,VERB
Wp-in,VERB
Wp-i-x,VERB
Wpr,VERB
Ws,VERB
Xa,X
Xd,X
Xe,X
Xf,X
Xfe,X
Xsc,X
Xsev,X
Xsi,X
Xsp,X
Xw,X
Xx,X
Xy,X
Y,X
