kegg_id	smiles
C00199	C([C@H]([C@H](C(=O)CO)O)O)OP(=O)(O)O
C00417	C(/C(=C/C(=O)O)/C(=O)O)C(=O)O
C00001	O
C00311	C(C(C(C(=O)O)O)C(=O)O)C(=O)O
C00158	C(C(=O)O)C(CC(=O)O)(C(=O)O)O
C00010	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCS)O
C00022	CC(=O)C(=O)O
C00009	OP(=O)(O)O
C00236	C([C@H](C(=O)OP(=O)(O)O)O)OP(=O)(O)O
C00008	C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O)O)O)N
C03736	C([C@@H]1[C@H]([C@H]([C@H](O1)O)O)O)OP(=O)(O)O
C00074	C=C(C(=O)O)OP(=O)(O)O
C00002	C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N
C00231	C([C@H]([C@@H](C(=O)CO)O)O)OP(=O)(O)O
C00080	[H+]
C00004	C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O
C00020	C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N
C00026	C(CC(=O)O)C(=O)C(=O)O
C00042	C(CC(=O)O)C(=O)O
C00256	C[C@H](C(=O)O)O
C00058	C(=O)O
C00122	C(=C/C(=O)O)\C(=O)O
C00025	C(CC(=O)O)[C@@H](C(=O)O)N
C00149	C([C@@H](C(=O)O)O)C(=O)O
C00014	N
